GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
198583,16037,0.1622096,7461231.00,45997468.68
198583,16027,0.033320947,1538589.99,46174857.13
198584,16027,0.045173381,2085874.39,46174857.13
198584,16027,0.149737888,6914125.61,46174857.13
198585,16027,0.153137819,7071116.90,46174857.13
198586,16027,0.069436959,3206241.68,46174857.13
198587,16027,0.014045545,648551.02,46174857.13
198606,11002,0.008334402,575663.65,69070783.02
198607,16110,0.006679141,1355750.72,202982792.6
198607,11002,0.028228594,1949771.10,69070783.02
198608,16110,0.034930178,7090225.09,202982792.6
198608,11002,0.001082102,74741.66,69070783.02
198608,11002,0.002738348,189139.84,69070783.02
198609,16110,0.030520711,6195179.08,202982792.6
198610,16110,0.13117162,5924713.68,45167648.77
198610,16110,0.003745955,760364.33,202982792.6
198611,16110,0.150328279,6789974.93,45167648.77
198612,16110,0.083049716,3751160.38,45167648.77
198612,16050,0.048487108,5215590.46,107566540.1
198613,16050,0.019608362,2109203.67,107566540.1
198613,16050,0.064060779,6890796.33,107566540.1
198614,16050,0.065012829,6993205.04,107566540.1
198614,11038,0.113527656,2006794.96,17676705.73
198615,16050,0.039707931,4271244.77,107566540.1
198615,11038,0.104975672,1855624.07,17676705.73
198618,16050,0.025754309,2770301.90,107566540.1
198619,16050,0.056162956,6041254.89,107566540.1
198620,16050,0.039651097,5287728.72,133356431.1
198620,16050,0.014941874,1607245.74,107566540.1
198621,16050,0.06655048,8874934.55,133356431.1
198622,16050,0.025707538,3428265.57,133356431.1
198630,15085,0.023257112,1811407.54,77886177.79
198631,15085,0.046969813,3658299.20,77886177.79
198632,15085,0.012634392,984044.52,77886177.79
198633,15085,0.063385012,4936816.30,77886177.79
198634,15085,0.075427177,5874734.54,77886177.79
198634,15001,0.008630051,1223600.69,141783715.8
198635,15085,0.054099238,4213582.86,77886177.79
198635,15001,8.94633E-05,12684.44,141783715.8
198636,15085,0.009044379,1764.30,195071.4675
198636,15001,0.049301248,587618.71,11918941.84
198637,15001,0.486663793,5800517.45,11918941.84
198638,15001,5.95047E-06,843.68,141783715.8
198639,15001,0.020844309,2955383.58,141783715.8
198639,15001,0.000228465,32392.61,141783715.8
198640,15001,0.00235132,333378.93,141783715.8
198643,15102,0.000524235,9273.00,17688606.88
198644,15102,0.365940913,6472984.94,17688606.88
198644,15045,0.001350757,82949.13,61409369.41
199619,16094,0.088186183,3785505.92,42926292.69
199620,16070,0.000302026,10662.42,35302965.17
199620,16094,0.146701637,6297357.43,42926292.69
199621,16070,0.04064056,1434732.27,35302965.17
199621,16094,0.038555506,1655044.95,42926292.69
199623,16070,0.133713432,4720480.64,35302965.17
199623,16094,0.001835521,78792.11,42926292.69
199624,16107,0.000603852,99211.03,164296897.9
199624,16107,1,31197.23,31197.22638
199624,16067,0.002551398,60247.26,23613427.03
199624,16067,0.000977811,35698.57,36508654.5
199624,16070,0.004012415,243168.88,60604119.23
199624,16070,0.154294066,5447038.04,35302965.17
199624,16094,0.002508905,73283.15,29209218.86
199624,16094,0.047345586,2032370.47,42926292.69
199625,16107,0.01972184,3240237.13,164296897.9
199625,16063,0.002793454,184796.02,66153229.68
199625,16067,0.151538622,3578346.19,23613427.03
199625,16070,0.002703424,163838.63,60604119.23
199625,16094,0.000963795,28151.71,29209218.86
199626,16107,0.001232603,202512.79,164296897.9
199626,16063,0.071435186,4725668.29,66153229.68
199626,16067,0.011901621,281038.05,23613427.03
199627,16044,0.001116105,33835.22,30315439.34
199627,16063,0.0211369,1398274.21,66153229.68
199628,16063,0.071967618,4760890.37,66153229.68
199629,16063,0.118849746,7862294.55,66153229.68
199630,16063,0.122189461,8083227.45,66153229.68
199631,16044,0.014503745,439687.39,30315439.34
199631,16063,0.060141498,3978554.36,66153229.68
199632,16044,0.003603951,109255.35,30315439.34
199632,16063,0.133147622,8808145.25,66153229.68
199633,16044,0.11232151,3405075.92,30315439.34
199633,16063,0.049506358,3275005.46,66153229.68
199639,16054,0.006716487,371618.36,55329279.06
199640,16054,0.044245872,2448092.20,55329279.06
199641,16037,0.002644913,121659.33,45997468.68
199641,16054,0.060884752,3368709.46,55329279.06
199642,16037,0.000104249,4795.18,45997468.68
199642,16037,0.023587893,1084983.35,45997468.68
199642,16027,0.018158852,838482.40,46174857.13
199642,16027,0.018688842,862954.59,46174857.13
199642,16054,0.084620777,4682006.57,55329279.06
199642,16054,0.014493331,801905.55,55329279.06
199643,16027,0.005856976,270445.03,46174857.13
199643,16027,0.070741443,3266476.03,46174857.13
199643,16054,0.095689531,5294432.77,55329279.06
199643,16054,0.003048046,168646.17,55329279.06
199644,16027,0.055630468,2568728.91,46174857.13
